"No","Kategori","Pertanyaan / Field","Tipe Input / Pilihan"
"1","Identitas Responden","Nama Saudara","Teks Singkat"
"2","Identitas Responden","Kota/Kabupaten Domisili saat ini","Teks Singkat"
"3","Identitas Target","Wilayah BAKTI NUSA yang mau di Evaluasi","Dropdown Wilayah"
"4","Identitas Target","Nama Awardee yang akan di Evaluasi","Dropdown Nama Awardee"
"5","Profil Hubungan","Dalam hal apa anda berhubungan dengan yang bersangkutan?","Atasan/Leader, Anggota tim, Pembina/Pembimbing, Teman organisasi, Teman kos, Manager Wilayah, Awardee angkatan se-Wilayah (Peer), Lainnya"
"6","Profil Hubungan","Berapa lama saudara mengenal yang bersangkutan?","< 5 bulan, 5 bulan - 1 tahun, > 1 tahun"
"7","Saran & Masukan","Mohon berikan masukan untuk pengembangan kepemimpinan yang bersangkutan agar lebih berdampak bagi dirinya dan masyarakat.","Teks Panjang (Paragraf)"
"8","Saran & Masukan","Berikan masukan untuk pengembangan program BAKTI NUSA di masa mendatang.","Teks Panjang (Paragraf)"
